"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1708971177232,"26/02/2024 18:12:57",1708971177232,0,"26/02/2024 18:12:57",167771,4,"questionnaire-97cc",NA,35522411,10494310,NA,"complete",NA,"65dcd2fef102ce9273e60afb","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF94580"
"1",1708971357176,"26/02/2024 18:15:57",1708971357176,0,"26/02/2024 18:15:57",167771,4,"questionnaire-97cc",NA,35522535,10494334,NA,"complete",NA,"65dcd343038df1ca26649274","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF91296"
"1",1708971274500,"26/02/2024 18:14:34",1708971274500,0,"26/02/2024 18:14:34",167771,4,"questionnaire-97cc",NA,35522644,10494361,NA,"complete",NA,"65dcd3eed5e1a6a3349a3356","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Chocking_second","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF77316"
"1",1708972337210,"26/02/2024 18:32:17",1708954337210,-5,"26/02/2024 08:32:17",167771,4,"questionnaire-97cc",NA,35523094,10494421,NA,"complete",NA,"65dcce30f40fd5cad9b7b120","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x673",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Chocking_first","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF56143"
"1",1708975508575,"26/02/2024 19:25:08",1708957508575,-5,"26/02/2024 09:25:08",167771,4,"questionnaire-97cc",NA,35524737,10494908,NA,"complete",NA,"65dce2bedf550398cbe21df9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1058x722",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Chocking_first","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF59156"
"1",1708976525911,"26/02/2024 19:42:05",1708947725911,-8,"26/02/2024 03:42:05",167771,4,"questionnaire-97cc",NA,35525236,10495197,NA,"complete",NA,"65dce8d9cab7e37ca604a9ef","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1426x692",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF87285"
"1",1708977146216,"26/02/2024 19:52:26",1708977146216,0,"26/02/2024 19:52:26",167771,4,"questionnaire-97cc",NA,35525620,10495308,NA,"complete",NA,"65dceba002a94d3dfdc24511","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Chocking_second","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF00201"
"1",1708977375774,"26/02/2024 19:56:15",1708959375774,-5,"26/02/2024 09:56:15",167771,4,"questionnaire-97cc",NA,35525705,10495316,NA,"complete",NA,"65dcec09d5e1a6a3349a3837","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1280x800","1243x690",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF64585"
"1",1708977894541,"26/02/2024 20:04:54",1708959894541,-5,"26/02/2024 10:04:54",167771,4,"questionnaire-97cc",NA,35525943,10495365,NA,"complete",NA,"65dced46926eb51a950e86da","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1504x1003","1504x868",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Chocking_first","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","SUPPRF09191"
"1",1708978147101,"26/02/2024 20:09:07",1708978147101,0,"26/02/2024 20:09:07",167771,4,"questionnaire-97cc",NA,35526053,10495375,NA,"complete",NA,"65dce39a39457860b3e43fc8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1710x1107","1710x948",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Chocking_first","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF01454"
"1",1708979142660,"26/02/2024 20:25:42",1708957542660,-6,"26/02/2024 08:25:42",167771,4,"questionnaire-97cc",NA,35526629,10495518,NA,"complete",NA,"65dcf1725c4c8090ce3cb245","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Chocking_second","Certainly true","3","Certainly true","3","Somewhat true","2","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF78484"
"1",1708979590418,"26/02/2024 20:33:10",1708961590418,-5,"26/02/2024 10:33:10",167771,4,"questionnaire-97cc",NA,35526868,10495617,NA,"complete",NA,"65dcf42ea8c82b9660fc4668","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x700",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Chocking_first","Somewhat true","2","Somewhat true","2","Certainly true","3","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF59092"
"1",1708980578746,"26/02/2024 20:49:38",1708962578746,-5,"26/02/2024 10:49:38",167771,4,"questionnaire-97cc",NA,35527451,10495743,NA,"complete",NA,"65dcf76135721b0e6bbcce5f","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"DECFBGAHJI","Failed AC2","Passed AC1","Chocking_second","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPPRF05723"
"1",1708981505781,"26/02/2024 21:05:05",1708981505781,0,"26/02/2024 21:05:05",167771,4,"questionnaire-97cc",NA,35527998,10495919,NA,"complete",NA,"65dcfb58aef7f9381901d3c3","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x960","1280x791",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Chocking_first","Somewhat true","2","Not true","1","Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF99214"
"1",1708983442552,"26/02/2024 21:37:22",1708961842552,-6,"26/02/2024 09:37:22",167771,4,"questionnaire-97cc",NA,35529040,10496251,NA,"complete",NA,"65dd02562d7bf320aeba16bb","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x945",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Chocking_second","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF17025"
"1",1708983673642,"26/02/2024 21:41:13",1708954873642,-8,"26/02/2024 05:41:13",167771,4,"questionnaire-97cc",NA,35529161,10496308,NA,"complete",NA,"65dd051932ebb761548f9e6d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x800","1280x665",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Chocking_second","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPPRF43564"
"1",1708984440964,"26/02/2024 21:54:00",1708984440964,0,"26/02/2024 21:54:00",167771,4,"questionnaire-97cc",NA,35529567,10496373,NA,"complete",NA,"65dd072b8ea0c743b5880b74","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1229x594",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Chocking_first","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF73359"
"1",1708984862930,"26/02/2024 22:01:02",1708956062930,-8,"26/02/2024 06:01:02",167771,4,"questionnaire-97cc",NA,35529897,10496414,NA,"complete",NA,"65dd0866bc7a541c53287a37","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"ARI",2,"JAIBHCGDFE","Failed AC2","Passed AC1","Chocking_second","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF00089"
"1",1708986156146,"26/02/2024 22:22:36",1708986156146,0,"26/02/2024 22:22:36",167771,4,"questionnaire-97cc",NA,35530813,10496638,NA,"complete",NA,"65dd0b41d48b7c8e7ab8d617","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Chocking_first","Certainly true","3","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF47490"
"1",1708987746194,"26/02/2024 22:49:06",1708987746194,0,"26/02/2024 22:49:06",167771,4,"questionnaire-97cc",NA,35531648,10497107,NA,"complete",NA,"65dd128f14235118bfba143b","computer","Desktop or Laptop","Mac OS 10.12.5","Chrome 103.0.0.0","1440x900","1440x733",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Chocking_second","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF92592"
"1",1708988518075,"26/02/2024 23:01:58",1708970518075,-5,"26/02/2024 13:01:58",167771,4,"questionnaire-97cc",NA,35532010,10497206,NA,"complete",NA,"65dd15a4b19c2e0e7e317336","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x756",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Chocking_first","Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF58118"
"1",1708990068899,"26/02/2024 23:27:48",1708968468899,-6,"26/02/2024 11:27:48",167771,4,"questionnaire-97cc",NA,35532521,10497399,NA,"complete",NA,"65dd1ca0f449c4ea1954aa2e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF18750"
"1",1708990168343,"26/02/2024 23:29:28",1708961368343,-8,"26/02/2024 07:29:28",167771,4,"questionnaire-97cc",NA,35532597,10497384,NA,"complete",NA,"65dd1bfd63f7579fba93854f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x598",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Chocking_second","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF08836"
"1",1708991085607,"26/02/2024 23:44:45",1708969485607,-6,"26/02/2024 11:44:45",167771,4,"questionnaire-97cc",NA,35533098,10497564,NA,"complete",NA,"65dd20e33fc2d138bc97fc5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x657",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF28471"
"1",1708991132094,"26/02/2024 23:45:32",1708965932094,-7,"26/02/2024 09:45:32",167771,4,"questionnaire-97cc",NA,35533115,10497599,NA,"complete",NA,"65dd2215187f1e33aa011703","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1457x685",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Chocking_second","Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF35623"
"1",1708991156284,"26/02/2024 23:45:56",1708973156284,-5,"26/02/2024 13:45:56",167771,4,"questionnaire-97cc",NA,35533126,10497582,NA,"complete",NA,"65dd211d9bf636d07f0a3a6e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"FGEHDICJBA","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","SUPPRF54273"
"1",1708991521538,"26/02/2024 23:52:01",1708995121538,1,"27/02/2024 01:52:01",167771,4,"questionnaire-97cc",NA,35533316,10497585,NA,"complete",NA,"65dd1f2e0a96edde8acceaa3","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1067x600","1067x465",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF54803"
"1",1708992111499,"27/02/2024 00:01:51",1708970511499,-6,"26/02/2024 12:01:51",167771,4,"questionnaire-97cc",NA,35533522,10497657,NA,"complete",NA,"65dd250f1f33c57dc3b550d7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x683",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Chocking_first","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF59017"
"1",1708992603871,"27/02/2024 00:10:03",1708974603871,-5,"26/02/2024 14:10:03",167771,4,"questionnaire-97cc",NA,35533707,10497693,NA,"complete",NA,"65dd26a71eb656fe97f930ca","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Chocking_second","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF03892"
"1",1708993292961,"27/02/2024 00:21:32",1708975292961,-5,"26/02/2024 14:21:32",167771,4,"questionnaire-97cc",NA,35533941,10497745,NA,"complete",NA,"65dd29628a4dc20718733aed","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF74334"
"1",1708994019154,"27/02/2024 00:33:39",1708976019154,-5,"26/02/2024 14:33:39",167771,4,"questionnaire-97cc",NA,35534100,10497777,NA,"complete",NA,"65dd2a211eb656fe97f93204","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"ARI",2,"DECFBGAHJI","Passed AC2","","Chocking_second","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","SUPPRF03799"
"1",1708994547370,"27/02/2024 00:42:27",1708976547370,-5,"26/02/2024 14:42:27",167771,4,"questionnaire-97cc",NA,35534266,10497832,NA,"complete",NA,"65dd2dfcb5a870c7880be710","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1470x956","1470x833",NA,NA,0,"ARI",2,"EFDGCHBIAJ","Passed AC2","","Chocking_first","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPPRF65916"
"1",1708995824433,"27/02/2024 01:03:44",1708977824433,-5,"26/02/2024 15:03:44",167771,4,"questionnaire-97cc",NA,35534525,10497905,NA,"complete",NA,"65dd3418b21f223565a33b74","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1228x787",NA,NA,0,"ARI",2,"FGEHDICJBA","Passed AC2","","Chocking_second","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF41953"
"1",1708995940032,"27/02/2024 01:05:40",1708977940032,-5,"26/02/2024 15:05:40",167771,4,"questionnaire-97cc",NA,35534550,10497913,NA,"complete",NA,"65dd34d9e2fb1f27d251d5d3","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1494x934","1494x799",NA,NA,0,"ARI",2,"GHFIEJDACB","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF16573"
"1",1708996504666,"27/02/2024 01:15:04",1708978504666,-5,"26/02/2024 15:15:04",167771,4,"questionnaire-97cc",NA,35534653,10497935,NA,"complete",NA,"65dd3709269e3078a5cb3e15","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x739",NA,NA,0,"ARI",2,"HIGJFAEBDC","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF52507"
"1",1708997489185,"27/02/2024 01:31:29",1708968689185,-8,"26/02/2024 09:31:29",167771,4,"questionnaire-97cc",NA,35534786,10497970,NA,"complete",NA,"65dd3a335c4c8090ce3cc61a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"ARI",2,"IJHAGBFCED","Passed AC2","","Chocking_second","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","SUPPRF66564"
"1",1709001270657,"27/02/2024 02:34:30",1709001270657,0,"27/02/2024 02:34:30",167771,4,"questionnaire-97cc",NA,35535104,10498091,NA,"complete",NA,"65dd4969a41d2ed79a980911","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1470x956","1470x803",NA,NA,0,"ARI",2,"JAIBHCGDFE","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF15429"
"1",1709003504010,"27/02/2024 03:11:44",1708981904010,-6,"26/02/2024 15:11:44",167771,4,"questionnaire-97cc",NA,35535293,10498138,NA,"complete",NA,"65dd51331eb656fe97f93ca0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"ABJCIDHEGF","Passed AC2","","Chocking_second","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF92764"
"1",1709003732392,"27/02/2024 03:15:32",1708982132392,-6,"26/02/2024 15:15:32",167771,4,"questionnaire-97cc",NA,35535337,10498149,NA,"complete",NA,"65dd52338631f0035eaafdd8","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x955",NA,NA,0,"ARI",2,"BCADJEIFHG","Passed AC2","","Chocking_first","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPPRF01574"
"1",1709007661629,"27/02/2024 04:21:01",1708986061629,-6,"26/02/2024 16:21:01",167771,4,"questionnaire-97cc",NA,35535882,10498297,NA,"complete",NA,"65dd5f528631f0035eab0087","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"CDBEAFJGIH","Passed AC2","","Chocking_second","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPPRF56111"
